#--- ATTENTION : CONSERVEZ CETTE LICENCE SI VOUS REDISTRIBUEZ CE FICHIER ---
#License ABU
#-=-=-=-=-=-
#Version 1.1, Aout 1999
#
#Copyright (C) 1999 Association de Bibliophiles Universels
#   http://abu.cnam.fr/
#   abu@cnam.fr
#
#La base de textes de l'Association des Bibliophiles Universels (ABU)
#est une oeuvre de compilation, elle peut être copiée, diffusée et
#modifiée dans les conditions suivantes :
#
#1.  Toute copie à des fins privées, à des fins d'illustration de l'enseignement
#    ou de recherche scientifique est autorisée.
#
#2.  Toute diffusion ou inclusion dans une autre oeuvre doit
#
#     a) soit inclure la presente licence s'appliquant a l'ensemble de la
#        diffusion ou de l'oeuvre dérivee.
#
#     b) soit permettre aux bénéficiaires de cette diffusion ou de cette
#        oeuvre dérivée d'en extraire facilement et gratuitement une version
#        numérisée de chaque texte inclu, muni de la présente licence.  Cette
#        possibilité doit être mentionnée explicitement et de façon claire,
#        ainsi que le fait que la présente notice s'applique aux documents
#        extraits.
#
#     c) permettre aux bénéficiaires de cette diffusion ou de cette
#        oeuvre dérivée d'en extraire facilement et gratuitement la version
#        numérisée originale, munie le cas échéant des améliorations visées au
#        paragraphe 6, si elles sont présentent dans la diffusion ou la nouvelle
#        oeuvre. Cette possibilité doit être mentionnée explicitement et de
#        façon claire, ainsi que le fait que la présente notice s'applique aux
#        documents extraits.
#
#   Dans tous les autres cas, la présente licence sera réputée s'appliquer
#   à l'ensemble de la diffusion ou de l'oeuvre dérivée.
#
#
#3. L'en-tête qui accompagne chaque fichier doit être intégralement 
#   conservée au sein de la copie.
#
#4. La mention du producteur original doit être conservée, ainsi
#   que celle des contributeurs ultérieurs.
#
#5. Toute modification ultérieure, par correction d'erreurs,
#   additions de variantes, mise en forme dans un autre format, ou autre,
#   doit être indiquée.  L'indication des diverses contributions devra être
#   aussi précise que possible, et datée.
#
#6. Ce copyright s'applique obligatoirement à toute amélioration
#   par simple correction d'erreurs ou d'oublis mineurs (orthographe,
#   phrase manquante, ...), c'est-à-dire ne correspondant pas à
#   l'adjonction d'une autre variante connue du texte, qui devra donc
#   comporter la présente notice.
#
#----------------------- FIN DE LA LICENCE ABU --------------------------------
	nom
636	aggiornamento
637	agglomérant
638	agglomérat
639	agglomération
640	aggloméré
641	agglutination
642	aggravation
643	agha
644	agilité
645	agio
646	agiotage
647	agioteur
648	agissement
649	agitateur
650	agitation
651	agité
652	aglyphe
653	agnat
654	agnathe
655	agneau
656	agnelage
657	agnelet
658	agnelin
659	agneline
660	agnelée
661	agnosie
662	agnosticisme
663	agnostique
664	agonie
665	agonisant
666	agora
667	agoraphobie
668	agouti
669	agrafage
670	agrafe
671	agrafeur
672	agrafeuse
673	agrammatisme
674	agrandissement
675	agrandisseur
676	agranulocytose
677	agraphie
678	agrarien
679	agresseur
680	agressif
681	agression
682	agressive
683	agressivité
684	agressé
685	agreste
686	agriculteur
687	agriculture
688	agrile
689	agrion
690	agriote
691	agripaume
692	agrochimie
693	agrologie
694	agronome
695	agronomie
696	agrostide
697	agrostis
698	agrotis
699	agrume
700	agrumiculture
701	agrès
702	agréable
703	agrégat
704	agrégatif
705	agrégation
706	agrégé
707	agrément
708	agréé
709	aguardiente
710	aguerrissement
711	aguets
712	agueusie
713	agui
714	aguicheur
715	agénésie
716	agérate
717	ahan
718	ahuri
719	ahurissement
720	aiche
721	aide
722	aide-comptable
723	aide-mémoire
724	aides
725	aigle
726	aiglefin
727	aiglon
728	aigre
729	aigrefin
730	aigremoine
731	aigrette
732	aigreur
733	aigri
734	aigrin
735	aigrissement
736	aigu
737	aiguail
738	aigue
739	aigue-marine
740	aiguillage
741	aiguillat
742	aiguille
743	aiguilletage
744	aiguillette
745	aiguilleur
746	aiguillon
747	aiguillonnement
748	aiguillot
749	aiguillée
750	aiguisage
751	aiguisement
752	aiguiseur
753	aiguisoir
754	aiguière
755	ail
756	ailante
757	aile
758	aileron
759	ailette
760	ailier
761	ailloli
762	aimant
763	aimantation
764	aime
765	aimé
766	aine
767	air
768	airain
769	airbus
770	aire
771	airedale
772	airelle
773	ais
774	aisance
775	aise
776	aises
777	aisseau
778	aisselle
779	aisy
780	ajiste
781	ajonc
782	ajour
783	ajournement
784	ajourné
785	ajout
786	ajoute
787	ajouté
788	ajustage
789	ajustement
790	ajusteur
791	akinésie
792	akkadien
793	akvavit
794	akène
795	alabandine
796	alabastrite
797	alacrité
798	alaise
799	alambic
800	alandier
801	alanguissement
802	alanine
803	alarme
804	alarmiste
805	alastrim
806	alaterne
807	albanais
808	albatros
809	alberge
810	albergier
811	albigeois
812	albinisme
813	albinos
814	albite
815	albuginée
816	albugo
817	album
818	albumen
819	albumine
820	albuminoïde
821	albuminurie
822	albumose
823	albâtre
824	albédo
825	alcade
826	alcalescence
827	alcali
828	alcalimètre
829	alcalimétrie
830	alcalin
831	alcalinité
832	alcalose
833	alcaloïde
834	alcarazas
835	alcazar
836	alchimie
837	alchimiste
838	alchémille
839	alcool
840	alcoolat
841	alcoolature
842	alcoolification
843	alcoolique
844	alcoolisation
845	alcoolisme
846	alcoolé
847	alcoolémie
848	alcoomètre
849	alcootest
850	alcoran
851	alcotest
852	alcoyle
853	alcyne
854	alcyon
855	alcyonaire
856	alcène
857	alcôve
858	alderman
859	aldol
860	aldostérone
861	aldéhyde
862	ale
863	alentours
864	aleph
865	alerte
866	aleurite
867	aleurode
868	aleurone
869	alevin
870	alevinage
871	alevinier
872	alevinière
873	alexandra
874	alexandrin
875	alexandrins
876	alexie
877	alexine
878	alezan
879	alfa
880	alfange
881	alfatier
882	alfénide
883	algarade
884	algazelle
885	algidité
886	algie
887	alginate
888	algine
889	algol
890	algorithme
891	algue
892	algèbre
893	algébriste
894	algérien
895	algérienne
896	alibi
897	aliboufier
898	alidade
899	alignement
900	alignements
901	alignée
902	aligoté
903	aliment
904	alimentation
905	alinéa
906	alios
907	aliquote
908	alise
909	alisier
910	alismacée
911	alisme
912	alitement
913	alité
914	alizari
915	alizarine
916	alizier
917	alizé
918	aliénabilité
919	aliénataire
920	aliénateur
921	aliénation
922	aliéniste
923	aliéné
924	alkermès
925	alkékenge
926	allaitement
927	allant
928	allante
929	allantoïde
930	allegro
931	allemand
932	allemande
933	aller
934	allergie
935	allergique
936	allergologie
937	allergologiste
938	allergologue
939	allergène
940	alleu
941	alleutier
942	alliage
943	alliaire
944	alliance
945	alligator
946	allitération
947	allié
948	alliés
949	allocataire
950	allocation
951	allocentrisme
952	allocutaire
953	allocution
954	allogamie
955	allogène
956	allonge
957	allongement
958	allopathie
959	allopurinol
960	allostérie
961	allotissement
962	allotropie
963	alluchon
964	allumage
965	allume-cigare
966	allume-cigares
967	allume-feu
968	allume-gaz
969	allumette
970	allumettier
971	allumeur
972	allumeuse
973	allumoir
974	allure
975	allusion
976	alluvion
977	alluvionnement
978	allyle
979	allylène
980	allèchement
981	allège
982	allèle
983	allène
984	allée
985	allégation
986	allégeance
987	allégement
988	allégorie
989	allégresse
990	allégretto
991	allégro
992	alléluia
993	almageste
994	almanach
995	almandin
996	almasilium
997	almicantarat
998	almée
999	alogie
1000	aloi
1001	alopécie
1002	alose
1003	alouate
1004	alouette
1005	alourdissement
1006	aloyau
1007	aloès
1008	alpaga
1009	alpage
1010	alpax
1011	alpe
1012	alpenstock
1013	alpha
1014	alphabet
1015	alphabète
1016	alphabétisation
1017	alphabétisme
1018	alphonse
1019	alpiculteur
1020	alpiculture
1021	alpinisme
1022	alpiniste
1023	alpiste
1024	alsace
1025	alsacien
1026	altaïque
1027	altercation
1028	alternance
1029	alternat
1030	alternateur
1031	alternative
1032	altesse
1033	althaea
1034	altimètre
1035	altimétrie
1036	altiport
1037	altise
1038	altiste
1039	altitude
1040	alto
1041	altocumulus
1042	altruisme
1043	altruiste
1044	altérabilité
1045	altérant
1046	altération
1047	altérité
1048	alucite
1049	aluette
1050	aluminage
1051	aluminate
1052	alumine
1053	aluminiage
1054	aluminium
1055	aluminon
1056	aluminosilicate
1057	aluminothermie
1058	alun
1059	alunissage
1060	alunite
1061	alvéole
1062	alvéolite
1063	alysse
1064	alysson
1065	alyte
1066	alèse
1067	aléa
1068	alémanique
1069	alépine
1070	alérion
1071	alésage
1072	aléseur
1073	aléseuse
1074	alésoir
1075	alêne
1076	amabilité
1077	amadou
1078	amadouvier
1079	amaigrissement
1080	amalgamation
1081	amalgame
1082	amandaie
1083	amande
1084	amandier
1085	amanite
1086	amant
1087	amants
1088	amarantacée
1089	amarante
1090	amareyeur
1091	amarinage
1092	amarrage
1093	amarre
1094	amaryllidacée
1095	amaryllis
1096	amas
1097	amassage
1098	amassette
1099	amateur
1100	amateurisme
1101	amaurose
1102	amazone
1103	amazonien
1104	amazonite
1105	ambages
1106	ambassade
1107	ambassadeur
1108	ambiance
1109	ambigu
1110	ambiguïté
1111	ambiophonie
1112	ambitieux
1113	ambition
1114	ambivalence
1115	amble
1116	amblyope
1117	amblyopie
1118	amblyoscope
1119	amblystome
1120	ambon
1121	ambre
1122	ambroisie
1123	ambulacre
1124	ambulance
1125	ambulancier
1126	ambulant
1127	amen
1128	amende
1129	amendement
1130	amentifère
1131	amenuisement
1132	amenée
1133	amer
1134	amerloque
1135	amerrissage
1136	amertume
1137	ameublement
1138	ameublissement
1139	amharique
1140	ami
1141	amiante
1142	amibe
1143	amibiase
1144	amicale
1145	amict
1146	amide
1147	amidon
1148	amidonnage
1149	amidonnerie
1150	amidonnier
1151	amidopyrine
1152	amie
1153	amincissement
1154	aminoplaste
1155	amiral
1156	amirauté
1157	amitié
1158	amitiés
1159	amitose
1160	ammodyte
1161	ammoniaque
1162	ammonisation
1163	ammonite
1164	ammonium
1165	ammophile
1166	amniocentèse
1167	amnios
1168	amnioscopie
1169	amnistie
1170	amnistié
1171	amnésie
1172	amnésique
1173	amodiataire
1174	amodiateur
1175	amodiation
1176	amoindrissement
1177	amollissement
1178	amome
1179	amoncellement
1180	amont
1181	amontillado
1182	amoralisme
1183	amoraliste
1184	amorce
1185	amorti
1186	amortie
1187	amortissement
1188	amortisseur
1189	amorçage
1190	amour
1191	amour-propre
1192	amourette
1193	amourettes
1194	amoureux
1195	amovibilité
1196	amphi
1197	amphiarthrose
1198	amphibie
1199	amphibien
1200	amphibole
1201	amphibologie
1202	amphictyon
1203	amphictyonie
1204	amphigouri
1205	amphimixie
1206	amphineure
1207	amphioxus
1208	amphisbène
1209	amphithéâtre
1210	amphitryon
1211	ampholyte
1212	amphore
1213	amphétamine
1214	ampleur
1215	ampli
1216	ampliation
1217	amplificateur
1218	amplification
1219	amplitude
1220	ampoule
1221	amputation
1222	amputé
1223	ampère
1224	ampèremètre
1225	ampélidacée
1226	ampélographie
1227	ampélopsis
1228	amulette
1229	amure
1230	amusant
1231	amuse-gueule
1232	amusement
1233	amusette
1234	amuseur
1235	amusie
1236	amuïssement
1237	amygdale
1238	amygdalectomie
1239	amygdalite
1240	amylase
1241	amyle
1242	amylobacter
1243	amylène
1244	amyotrophie
1245	amélioration
1246	améliorations
1247	aménagement
1248	aménageur
1249	aménité
1250	aménorrhée
1251	américain
1252	américaine
1253	américanisation
1254	américanisme
1255	américaniste
1256	américium
1257	amérindien
1258	améthyste
1259	amétropie
1260	an
1261	ana
1262	anabaptisme
1263	anabaptiste
1264	anabolisant
1265	anabolisme
1266	anabolite
1267	anacardier
1268	anachorète
1269	anachorétisme
1270	anachronisme
1271	anacoluthe
1272	anaconda
1273	anacrouse
1274	anacruse
1275	anaglyphe
1276	anaglyptique
1277	anagnoste
1278	anagogie
1279	anagramme
1280	anale
1281	analecta
1282	analectes
1283	analeptique
1284	analgésie
1285	analgésique
1286	analité
1287	analogie
1288	analogon
1289	analphabète
1290	analphabétisme
1291	analycité
1292	analysant
1293	analyse
1294	analyseur
1295	analyste
1296	analysé
1297	analytique
1298	anamnèse
1299	anamorphose
1300	ananas
1301	anapeste
1302	anaphase
1303	anaphore
1304	anaphorèse
1305	anaphrodisie
1306	anaphylaxie
1307	anaplastie
1308	anar
1309	anarchie
1310	anarchisant
1311	anarchisme
1312	anarchiste
1313	anarcho
1314	anarcho-syndicalisme
1315	anarcho-syndicaliste
1316	anarthrie
1317	anasarque
1318	anastigmat
1319	anastomose
1320	anastrophe
1321	anathème
1322	anathématisation
1323	anatidé
1324	anatife
1325	anatocisme
1326	anatomie
1327	anatomiste
1328	anatomopathologie
1329	anavenin
1330	anche
1331	anchois
1332	ancien
1333	ancienne
1334	ancienneté
1335	ancolie
1336	ancrage
1337	ancre
1338	ancêtre
1339	andain
1340	andalou
1341	andante
1342	andin
1343	andouille
1344	andouiller
1345	andouillette
1346	andrinople
1347	androcée
1348	androgenèse
1349	androgyne
1350	androgène
1351	androgénie
1352	andrologie
1353	andrologue
1354	andropause
1355	androstérone
1356	androïde
1357	andrène
1358	andésite
1359	anecdote
1360	anecdotier
1361	anesthésiant
1362	anesthésie
1363	anesthésiologie
1364	anesthésiologiste
1365	anesthésique
1366	anesthésiste
1367	aneth
1368	anfractuosité
1369	angarie
1370	ange
1371	angelet
1372	angelot
1373	anges
1374	angevin
1375	angiectasie
1376	angiite
1377	angine
1378	angineux
1379	angiocardiographie
1380	angiocholite
1381	angiographie
1382	angiologie
1383	angiome
1384	angiosperme
1385	anglais
1386	anglaise
1387	angle
1388	angledozer
1389	anglet
1390	anglican
1391	anglicanisme
1392	anglicisant
1393	anglicisme
1394	angliciste
1395	anglomane
1396	anglomanie
1397	anglophile
1398	anglophilie
1399	anglophobie
1400	angoisse
1401	angoissé
1402	angolais
1403	angon
1404	angor
1405	angora
1406	angstroem
1407	anguille
1408	anguillidé
1409	anguillule
1410	anguillère
1411	angulaire
1412	angusticlave
1413	angustura
1414	angusture
1415	angéite
1416	angélique
1417	angélisme
1418	angélus
1419	anhidrose
1420	anhydride
1421	anhydrite
1422	anhélation
1423	ani
1424	anicroche
1425	aniline
1426	anilisme
1427	anima
1428	animadversion
1429	animal
1430	animalcule
1431	animalerie
1432	animalité
1433	animateur
1434	animation
1435	animaux
1436	anime
1437	animisme
1438	animiste
1439	animosité
1440	anion
1441	anis
1442	anisette
1443	anisogamie
1444	anisotropie
1445	anisé
1446	ankylose
1447	ankylostome
1448	annales
1449	annaliste
1450	annalité
1451	annamite
1452	anneau
1453	anneaux
1454	annelé
1455	annexe
1456	annexion
1457	annexionnisme
1458	annihilation
1459	anniversaire
1460	annonce
1461	annonceur
1462	annonciateur
1463	annonciation
1464	annoncier
1465	annone
1466	annotateur
1467	annotation
1468	annuaire
1469	annualité
1470	annuité
1471	annulaire
1472	annulation
1473	année
1474	année-lumière
1475	anobli
1476	anoblissement
1477	anode
1478	anomala
1479	anomale
1480	anomalie
1481	anomie
1482	anonymat
1483	anonyme
1484	anophèle
1485	anorak
1486	anorexie
1487	anormal
1488	anormalité
1489	anosmie
1490	anoure
1491	anoxémie
1492	anse
1493	anspect
1494	ansérine
1495	antagonisme
1496	antagoniste
1497	ante
1498	antenne
1499	anthologie
1500	anthonome
1501	anthozoaire
1502	anthracite
1503	anthracnose
1504	anthracose
1505	anthracène
1506	anthraquinone
1507	anthrax
1508	anthropocentrisme
1509	anthropogenèse
1510	anthropogénie
1511	anthropologie
1512	anthropologiste
1513	anthropologue
1514	anthropomorphisme
1515	anthropométrie
1516	anthropophage
1517	anthropophagie
1518	anthropopithèque
1519	anthrène
1520	anthère
1521	anthémis
1522	anthérozoïde
1523	anti-américanisme
1524	antiacide
1525	antialcoolisme
1526	antiallergique
1527	antiatome
1528	antibiotique
1529	antibois
1530	antibrouillage
1531	anticancéreux
1532	anticapitaliste
1533	anticathode
1534	antichambre
1535	antichrèse
1536	anticipation
1537	anticlérical
1538	anticléricalisme
1539	anticolonialisme
1540	anticolonialiste
1541	anticommunisme
1542	anticommuniste
1543	anticonformisme
1544	anticonformiste
1545	anticorps
1546	anticorpuscule
1547	anticryptogamique
1548	anticyclone
1549	antidate
1550	antidote
1551	antidéflagrant
1552	antidépresseur
1553	antienne
1554	antifasciste
1555	antigel
1556	antigravitation
1557	antigène
1558	antihalo
1559	antihistaminique
1560	antihéros
1561	antillais
1562	antilogarithme
1563	antilope
1564	antimatière
1565	antimilitarisme
1566	antimilitariste
1567	antimite
1568	antimoine
1569	antimonial
1570	antimoniure
1571	antimorale
1572	antiméridien
1573	antinomie
1574	antipape
1575	antiparasite
1576	antiparlementarisme
1577	antiparticule
1578	antipathie
1579	antipatriotisme
1580	antiphonaire
1581	antiphrase
1582	antipode
1583	antiquaille
1584	antiquaire
1585	antique
1586	antiquité
1587	antiracisme
1588	antiraciste
1589	antiradar
1590	antiroman
1591	antirépublicain
1592	antirévisionnisme
1593	antiscorbutique
1594	antisepsie
1595	antiseptique
1596	antistreptolysine
1597	antistrophe
1598	antisémite
1599	antisémitisme
1600	antithèse
1601	antitoxine
1602	antituberculeux
1603	antivol
1604	antonyme
1605	antonymie
1606	antre
1607	antrustion
1608	antéchrist
1609	antécédence
1610	antécédent
1611	antécédents
1612	antéfixe
1613	antépénultième
1614	antérieur
1615	antériorité
